0,1,2,3,4,5,6
งวดวันที่,รางวัลที่ 1,เลขหน้า 3 ตัว,เลขหน้า 3 ตัว,เลขท้าย 3 ตัว,เลขท้าย 3 ตัว,เลขท้าย 2 ตัว
2024-06-16,xxxxxx,xxx,xxx,xxx,xxx,xx
2024-06-01,530593,194,364,421,734,42
2024-05-16,205690,885,747,137,070,60
2024-05-02,980116,104,763,634,833,17
2024-04-16,943598,729,727,154,200,79
2024-04-01,803481,122,809,559,947,90
2024-03-16,997626,571,509,794,329,78
2024-03-01,253603,900,975,382,703,79
2024-02-16,941395,056,330,587,375,43
2024-02-01,607063,454,943,544,591,09
2024-01-17,105979,429,931,196,635,61
2023-12-30,625544,600,648,882,456,89
2023-12-16,356757,058,410,584,964,85
2023-12-01,251097,055,265,092,280,91
2023-11-16,557990,346,412,778,961,14
2023-11-01,743951,335,913,019,349,63
2023-10-16,931446,167,398,272,970,44
2023-10-01,727202,355,324,426,615,66
2023-09-16,320812,037,699,057,344,46
2023-09-01,915478,521,596,692,291,91
2023-08-16,471782,431,739,737,742,67
2023-07-31,260453,268,708,387,601,11
2023-07-16,169530,261,384,066,780,62
2023-07-01,922605,281,867,491,947,16
2023-06-16,264872,519,628,202,874,30
2023-06-01,125272,000,681,386,971,09
2023-05-16,132903,739,678,693,731,99
2023-05-02,843019,500,780,269,187,65
2023-04-16,984906,670,678,797,551,71
2023-04-01,087907,111,914,290,698,99
2023-03-16,025873,420,800,355,544,73
2023-03-01,417652,577,919,748,984,55
2023-02-16,590417,195,664,377,523,80
2023-02-01,297411,181,789,101,664,92
2023-01-17,812519,389,443,564,849,47
2022-12-30,157196,007,522,250,425,58
2022-12-16,845093,912,411,855,593,14
2022-12-01,375805,170,786,409,421,08
2022-11-16,121789,722,532,157,973,64
2022-11-01,913106,722,839,343,922,70
2022-10-16,613106,037,158,606,799,15
2022-10-01,484669,206,996,194,278,50
2022-09-16,943703,971,540,631,432,75
2022-09-01,929332,298,725,210,604,83
2022-08-16,331583,271,300,284,876,42
2022-08-01,436594,893,266,447,282,14
2022-07-16,620405,159,834,061,279,53
2022-07-01,981417,287,242,002,542,61
2022-06-16,361807,549,285,228,106,92
2022-06-01,319196,679,817,213,652,02
2022-05-16,155012,247,736,236,540,06
2022-05-02,658642,778,518,041,325,09
2022-04-16,395919,289,859,413,508,58
2022-04-01,970618,738,391,578,870,10
2022-03-16,737867,349,985,989,788,03
2022-03-01,061905,236,834,234,691,07
2022-02-17,098597,085,644,592,816,57
2022-02-01,944308,942,061,509,485,30
2022-01-17,880159,731,786,119,529,92
2021-12-30,819068,591,979,419,547,36
2021-12-16,639235,097,629,476,522,83
2021-12-01,077258,739,740,401,485,82
2021-11-16,032761,648,471,844,245,57
2021-11-01,045037,247,458,331,755,95
2021-10-16,386372,602,964,295,798,38
2021-10-01,578171,285,361,379,449,83
2021-09-16,070935,609,817,379,007,90
2021-09-01,114475,278,302,123,458,79
2021-08-16,046750,421,666,160,355,23
2021-08-01,910261,103,307,004,785,69
2021-07-16,556725,058,174,233,927,70
2021-07-01,713517,794,073,511,414,29
2021-06-16,691861,054,007,447,668,17
2021-06-01,292972,620,193,978,723,45
2021-05-16,684579,615,843,276,970,14
2021-05-02,501272,306,018,498,129,18
2021-04-16,100787,013,143,264,478,56
2021-04-01,472270,755,283,393,577,05
2021-03-16,890422,036,902,396,256,19
2021-03-01,835538,290,838,051,806,73
2021-02-16,424603,861,318,057,817,39
2021-02-01,912307,605,248,282,651,97
2021-01-17,384395,367,653,566,878,15
2020-12-30,803628,336,804,321,924,19
2020-12-16,201303,377,828,072,517,70
2020-12-01,100994,093,776,834,984,84
2020-11-16,972661,368,741,208,255,46
2020-11-01,506404,154,598,062,245,40
2020-10-16,286051,189,464,980,045,38
2020-10-01,837893,594,757,110,595,59
2020-09-16,244083,127,220,623,853,57
2020-09-01,999997,636,725,342,957,98
2020-08-16,945811,712,614,364,733,88
2020-08-01,569391,575,931,578,809,92
2020-07-16,873286,510,533,682,494,53
2020-07-01,347258,095,362,094,307,83
2020-06-16,516967,876,882,565,625,64
2020-06-01,831567,264,489,562,582,24
2020-05-16,051095,285,430,191,364,22
2020-04-01,051095,285,430,191,364,22
2020-03-16,503446,258,726,404,661,77
2020-03-01,875938,294,328,597,780,98
2020-02-16,781403,515,952,030,918,94
2020-02-01,589227,259,552,375,927,06
2020-01-17,491774,004,132,379,595,68
2019-12-30,510541,116,382,140,250,81
2019-12-16,529924,043,138,555,665,97
2019-12-01,453522,617,261,457,013,81
2019-11-16,017223,164,640,085,194,32
2019-11-01,967375,323,806,021,206,79
2019-10-16,812564,255,625,132,598,15
2019-10-01,691197,392,920,606,797,59
2019-09-16,340388,947,733,925,939,85
2019-09-01,798787,210,847,274,439,20
2019-08-16,775476,149,912,563,580,89
2019-08-01,387006,135,983,562,795,58
2019-07-15,369765,901,355,556,113,88
2019-07-01,943647,239,864,006,375,86
2019-06-16,174055,625,884,127,800,29
2019-06-01,516461,589,713,215,560,46
2019-05-16,962526,669,949,018,828,71
2019-05-02,061324,043,476,374,699,25
2019-04-16,570331,512,930,966,968,23
2019-04-01,109767,888,959,403,975,52
2019-03-16,724628,148,883,154,877,64
2019-03-01,345650,137,999,830,837,65
2019-02-16,074824,881,910,612,879,56
2019-02-01,967134,643,779,197,948,04
2019-01-17,197079,206,412,127,660,65
2018-12-30,735867,031,913,701,884,02
2018-12-16,356564,480,948,297,369,62
2018-12-01,021840,045,307,561,988,67
2018-11-16,989903,471,930,140,876,16
2018-11-01,149840,384,576,046,509,58
2018-10-16,200515,186,392,192,212,93
2018-10-01,452643,726,594,810,561,99
2018-09-16,149760,323,539,155,297,79
2018-09-01,734510,512,464,202,097,26
2018-08-16,586117,670,340,815,591,10
2018-08-01,386602,832,903,549,726,78
2018-07-16,596324,403,530,138,362,27
2018-07-01,963623,429,901,210,217,83
2018-06-16,223131,432,507,132,868,46
2018-06-01,988117,310,553,248,650,95
2018-05-16,075629,357,130,506,047,20
2018-05-02,248038,527,980,225,602,85
2018-04-16,739229,273,654,076,526,60
2018-04-01,412073,131,787,638,924,85
2018-03-16,218559,064,720,205,489,82
2018-03-02,759415,318,870,589,723,29
2018-02-16,309915,007,388,230,748,39
2018-02-01,026853,106,947,181,519,31
2018-01-17,203823,624,799,236,397,50
2017-12-30,911234,495,373,953,504,98
2017-12-16,955596,616,836,290,938,89
2017-12-01,451005,626,303,601,257,33
2017-11-16,292391,831,961,477,628,98
2017-11-01,533726,165,425,485,036,85
2017-10-16,413494,180,971,128,287,86
2017-10-01,880714,611,726,462,952,52
2017-09-16,170143,172,647,340,388,71
2017-09-01,143224,345,679,195,278,65
2017-08-16,715431,115,302,253,945,37
2017-08-01,756519,061,386,787,989,36
2017-07-16,820327,584,835,390,823,87
2017-07-01,112360,226,489,005,688,26
2017-06-16,943142,626,878,740,373,47
2017-06-01,053630,121,218,581,881,61
2017-05-16,454891,008,396,490,603,53
2017-05-02,008656,573,949,773,923,35
2017-04-16,816729,766,973,241,807,40
2017-04-01,392785,020,057,500,709,80
2017-03-16,273863,324,918,694,941,92
2017-03-01,978453,450,560,052,577,78
2017-02-16,229116,128,464,375,953,14
2017-02-01,054672,066,807,426,628,42
2017-01-17,145157,511,663,516,836,25
2016-12-30,377712,304,890,477,769,46
2016-12-16,435286,596,366,716,199,35
2016-12-01,086069,513,873,148,450,77
2016-11-16,858383,682,040,570,558,44
2016-11-01,785438,976,824,752,038,86
2016-10-16,571947,692,885,032,587,98
2016-10-01,887102,280,194,458,017,33
2016-09-16,240650,583,493,043,160,42
2016-09-01,638684,334,335,630,669,62
2016-08-16,254004,966,366,596,631,33
2016-08-01,272932,538,983,472,871,57
2016-07-16,449764,734,552,925,158,55
2016-07-01,082460,169,609,173,302,53
2016-06-16,073816,804,251,749,321,79
2016-06-01,511825,775,111,937,880,14
2016-05-16,141737,382,975,087,268,98
2016-05-02,399459,238,403,671,046,02
2016-04-16,221609,228,008,507,523,87
2016-04-01,066720,546,390,285,852,92
2016-03-16,134918,877,855,973,004,32
2016-03-01,439686,530,426,155,743,06
2016-02-16,356364,699,312,309,535,98
2016-02-01,927800,625,999,054,076,09
2016-01-17,304371,031,532,786,743,50
2015-12-30,008217,246,264,895,596,02
2015-12-17,930255,140,250,094,638,08
2015-12-01,915350,238,181,714,175,78
2015-11-16,795283,241,028,643,802,03
2015-11-01,361211,106,757,166,473,45
2015-10-16,968630,457,134,412,054,62
2015-10-01,594825,175,918,440,799,07
2015-09-16,743148,435,209,375,084,06
2015-09-01,021094,260,403,068,819,89
2015-08-16,033363,781,227,624,648,40
2015-08-01,518677,333,598,648,889,53
2015-07-16,121507,761,461,830,294,49
2015-07-01,759049,565,814,081,567,26
2015-06-16,644742,429,253,386,532,05
2015-06-02,388881,314,700,876,969,65
2015-05-16,011421,799,484,851,928,38
2015-05-02,543466,818,163,366,195,30
2015-04-16,506260,101,164,495,973,38
2015-04-01,605704,558,962,557,861,70
2015-03-16,048151,339,622,623,757,92
2015-03-01,240237,498,031,857,008,34
2015-02-16,001864,843,103,825,392,90
